circuitId,circuitName,Year,Latitude,Longitude,Locality,Country
albert_park,Albert Park Grand Prix Circuit,2015,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2015,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2015,26.0325,50.5106,Sakhir,Bahrain
catalunya,Circuit de Barcelona-Catalunya,2015,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2015,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2015,-23.7036,-46.6997,São Paulo,Brazil
marina_bay,Marina Bay Street Circuit,2015,1.2914,103.864,Marina Bay,Singapore
monaco,Circuit de Monaco,2015,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2015,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2015,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2015,19.4042,-99.0907,Mexico City,Mexico
sepang,Sepang International Circuit,2015,2.76083,101.738,Kuala Lumpur,Malaysia
shanghai,Shanghai International Circuit,2015,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2015,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2015,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2015,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2015,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2015,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2015,24.4672,54.6031,Abu Dhabi,UAE
albert_park,Albert Park Grand Prix Circuit,2016,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2016,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2016,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2016,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2016,41.57,2.26111,Montmeló,Spain
hockenheimring,Hockenheimring,2016,49.3278,8.56583,Hockenheim,Germany
hungaroring,Hungaroring,2016,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2016,-23.7036,-46.6997,São Paulo,Brazil
marina_bay,Marina Bay Street Circuit,2016,1.2914,103.864,Marina Bay,Singapore
monaco,Circuit de Monaco,2016,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2016,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2016,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2016,19.4042,-99.0907,Mexico City,Mexico
sepang,Sepang International Circuit,2016,2.76083,101.738,Kuala Lumpur,Malaysia
shanghai,Shanghai International Circuit,2016,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2016,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2016,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2016,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2016,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2016,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2016,24.4672,54.6031,Abu Dhabi,UAE
albert_park,Albert Park Grand Prix Circuit,2017,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2017,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2017,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2017,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2017,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2017,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2017,-23.7036,-46.6997,São Paulo,Brazil
marina_bay,Marina Bay Street Circuit,2017,1.2914,103.864,Marina Bay,Singapore
monaco,Circuit de Monaco,2017,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2017,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2017,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2017,19.4042,-99.0907,Mexico City,Mexico
sepang,Sepang International Circuit,2017,2.76083,101.738,Kuala Lumpur,Malaysia
shanghai,Shanghai International Circuit,2017,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2017,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2017,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2017,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2017,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2017,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2017,24.4672,54.6031,Abu Dhabi,UAE
albert_park,Albert Park Grand Prix Circuit,2018,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2018,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2018,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2018,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2018,41.57,2.26111,Montmeló,Spain
hockenheimring,Hockenheimring,2018,49.3278,8.56583,Hockenheim,Germany
hungaroring,Hungaroring,2018,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2018,-23.7036,-46.6997,São Paulo,Brazil
marina_bay,Marina Bay Street Circuit,2018,1.2914,103.864,Marina Bay,Singapore
monaco,Circuit de Monaco,2018,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2018,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2018,47.2197,14.7647,Spielberg,Austria
ricard,Circuit Paul Ricard,2018,43.2506,5.79167,Le Castellet,France
rodriguez,Autódromo Hermanos Rodríguez,2018,19.4042,-99.0907,Mexico City,Mexico
shanghai,Shanghai International Circuit,2018,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2018,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2018,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2018,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2018,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2018,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2018,24.4672,54.6031,Abu Dhabi,UAE
albert_park,Albert Park Grand Prix Circuit,2019,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2019,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2019,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2019,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2019,41.57,2.26111,Montmeló,Spain
hockenheimring,Hockenheimring,2019,49.3278,8.56583,Hockenheim,Germany
hungaroring,Hungaroring,2019,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2019,-23.7036,-46.6997,São Paulo,Brazil
marina_bay,Marina Bay Street Circuit,2019,1.2914,103.864,Marina Bay,Singapore
monaco,Circuit de Monaco,2019,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2019,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2019,47.2197,14.7647,Spielberg,Austria
ricard,Circuit Paul Ricard,2019,43.2506,5.79167,Le Castellet,France
rodriguez,Autódromo Hermanos Rodríguez,2019,19.4042,-99.0907,Mexico City,Mexico
shanghai,Shanghai International Circuit,2019,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2019,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2019,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2019,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2019,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2019,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2019,24.4672,54.6031,Abu Dhabi,UAE
bahrain,Bahrain International Circuit,2020,26.0325,50.5106,Sakhir,Bahrain
catalunya,Circuit de Barcelona-Catalunya,2020,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2020,47.5789,19.2486,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,2020,44.3439,11.7167,Imola,Italy
istanbul,Istanbul Park,2020,40.9517,29.405,Istanbul,Turkey
monza,Autodromo Nazionale di Monza,2020,45.6156,9.28111,Monza,Italy
mugello,Autodromo Internazionale del Mugello,2020,43.9975,11.3719,Mugello,Italy
nurburgring,Nürburgring,2020,50.3356,6.9475,Nürburg,Germany
portimao,Autódromo Internacional do Algarve,2020,37.227,-8.6267,Portimão,Portugal
red_bull_ring,Red Bull Ring,2020,47.2197,14.7647,Spielberg,Austria
silverstone,Silverstone Circuit,2020,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2020,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2020,50.4372,5.97139,Spa,Belgium
yas_marina,Yas Marina Circuit,2020,24.4672,54.6031,Abu Dhabi,UAE
americas,Circuit of the Americas,2021,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2021,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2021,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2021,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2021,47.5789,19.2486,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,2021,44.3439,11.7167,Imola,Italy
interlagos,Autódromo José Carlos Pace,2021,-23.7036,-46.6997,São Paulo,Brazil
istanbul,Istanbul Park,2021,40.9517,29.405,Istanbul,Turkey
jeddah,Jeddah Corniche Circuit,2021,21.6319,39.1044,Jeddah,Saudi Arabia
losail,Losail International Circuit,2021,25.49,51.4542,Al Daayen,Qatar
monaco,Circuit de Monaco,2021,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2021,45.6156,9.28111,Monza,Italy
portimao,Autódromo Internacional do Algarve,2021,37.227,-8.6267,Portimão,Portugal
red_bull_ring,Red Bull Ring,2021,47.2197,14.7647,Spielberg,Austria
ricard,Circuit Paul Ricard,2021,43.2506,5.79167,Le Castellet,France
rodriguez,Autódromo Hermanos Rodríguez,2021,19.4042,-99.0907,Mexico City,Mexico
silverstone,Silverstone Circuit,2021,52.0786,-1.01694,Silverstone,UK
sochi,Sochi Autodrom,2021,43.4057,39.9578,Sochi,Russia
spa,Circuit de Spa-Francorchamps,2021,50.4372,5.97139,Spa,Belgium
yas_marina,Yas Marina Circuit,2021,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2021,52.3888,4.54092,Zandvoort,Netherlands
albert_park,Albert Park Grand Prix Circuit,2022,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2022,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2022,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2022,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2022,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2022,47.5789,19.2486,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,2022,44.3439,11.7167,Imola,Italy
interlagos,Autódromo José Carlos Pace,2022,-23.7036,-46.6997,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,2022,21.6319,39.1044,Jeddah,Saudi Arabia
marina_bay,Marina Bay Street Circuit,2022,1.2914,103.864,Marina Bay,Singapore
miami,Miami International Autodrome,2022,25.9581,-80.2389,Miami,USA
monaco,Circuit de Monaco,2022,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2022,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2022,47.2197,14.7647,Spielberg,Austria
ricard,Circuit Paul Ricard,2022,43.2506,5.79167,Le Castellet,France
rodriguez,Autódromo Hermanos Rodríguez,2022,19.4042,-99.0907,Mexico City,Mexico
silverstone,Silverstone Circuit,2022,52.0786,-1.01694,Silverstone,UK
spa,Circuit de Spa-Francorchamps,2022,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2022,34.8431,136.541,Suzuka,Japan
villeneuve,Circuit Gilles Villeneuve,2022,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2022,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2022,52.3888,4.54092,Zandvoort,Netherlands
albert_park,Albert Park Grand Prix Circuit,2023,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2023,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2023,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2023,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2023,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2023,47.5789,19.2486,Budapest,Hungary
interlagos,Autódromo José Carlos Pace,2023,-23.7036,-46.6997,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,2023,21.6319,39.1044,Jeddah,Saudi Arabia
losail,Losail International Circuit,2023,25.49,51.4542,Al Daayen,Qatar
marina_bay,Marina Bay Street Circuit,2023,1.2914,103.864,Marina Bay,Singapore
miami,Miami International Autodrome,2023,25.9581,-80.2389,Miami,USA
monaco,Circuit de Monaco,2023,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2023,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2023,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2023,19.4042,-99.0907,Mexico City,Mexico
silverstone,Silverstone Circuit,2023,52.0786,-1.01694,Silverstone,UK
spa,Circuit de Spa-Francorchamps,2023,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2023,34.8431,136.541,Suzuka,Japan
vegas,Las Vegas Strip Street Circuit,2023,36.1147,-115.173,Las Vegas,USA
villeneuve,Circuit Gilles Villeneuve,2023,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2023,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2023,52.3888,4.54092,Zandvoort,Netherlands
albert_park,Albert Park Grand Prix Circuit,2024,-37.8497,144.968,Melbourne,Australia
americas,Circuit of the Americas,2024,30.1328,-97.6411,Austin,USA
bahrain,Bahrain International Circuit,2024,26.0325,50.5106,Sakhir,Bahrain
baku,Baku City Circuit,2024,40.3725,49.8533,Baku,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,2024,41.57,2.26111,Montmeló,Spain
hungaroring,Hungaroring,2024,47.5789,19.2486,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,2024,44.3439,11.7167,Imola,Italy
interlagos,Autódromo José Carlos Pace,2024,-23.7036,-46.6997,São Paulo,Brazil
jeddah,Jeddah Corniche Circuit,2024,21.6319,39.1044,Jeddah,Saudi Arabia
losail,Losail International Circuit,2024,25.49,51.4542,Al Daayen,Qatar
marina_bay,Marina Bay Street Circuit,2024,1.2914,103.864,Marina Bay,Singapore
miami,Miami International Autodrome,2024,25.9581,-80.2389,Miami,USA
monaco,Circuit de Monaco,2024,43.7347,7.42056,Monte-Carlo,Monaco
monza,Autodromo Nazionale di Monza,2024,45.6156,9.28111,Monza,Italy
red_bull_ring,Red Bull Ring,2024,47.2197,14.7647,Spielberg,Austria
rodriguez,Autódromo Hermanos Rodríguez,2024,19.4042,-99.0907,Mexico City,Mexico
shanghai,Shanghai International Circuit,2024,31.3389,121.22,Shanghai,China
silverstone,Silverstone Circuit,2024,52.0786,-1.01694,Silverstone,UK
spa,Circuit de Spa-Francorchamps,2024,50.4372,5.97139,Spa,Belgium
suzuka,Suzuka Circuit,2024,34.8431,136.541,Suzuka,Japan
vegas,Las Vegas Strip Street Circuit,2024,36.1147,-115.173,Las Vegas,USA
villeneuve,Circuit Gilles Villeneuve,2024,45.5,-73.5228,Montreal,Canada
yas_marina,Yas Marina Circuit,2024,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,Circuit Park Zandvoort,2024,52.3888,4.54092,Zandvoort,Netherlands
