Season,Round,Race,Circuit,Driver,Constructor,Position,Q1,Q2,Q3
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hamilton,Mercedes,1,1:28.586,1:26.894,1:26.327
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Rosberg,Mercedes,2,1:28.906,1:27.097,1:26.921
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Massa,Williams,3,1:29.246,1:27.895,1:27.718
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vettel,Ferrari,4,1:29.307,1:27.742,1:27.757
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Räikkönen,Ferrari,5,1:29.754,1:27.807,1:27.790
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Bottas,Williams,6,1:29.641,1:27.796,1:28.087
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ricciardo,Red Bull,7,1:29.788,1:28.679,1:28.329
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sainz,Toro Rosso,8,1:29.597,1:28.601,1:28.510
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Grosjean,Lotus F1,9,1:29.537,1:28.589,1:28.560
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Maldonado,Lotus F1,10,1:29.847,1:28.726,1:29.480
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Nasr,Sauber,11,1:30.430,1:28.800,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Verstappen,Toro Rosso,12,1:29.248,1:28.868,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Kvyat,Red Bull,13,1:30.402,1:29.070,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hülkenberg,Force India,14,1:29.651,1:29.208,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Pérez,Force India,15,1:29.990,1:29.209,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ericsson,Sauber,16,1:31.376,,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Button,McLaren,17,1:31.422,,
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Magnussen,McLaren,18,1:32.037,,
2015,2,Malaysian Grand Prix,Sepang International Circuit,Hamilton,Mercedes,1,1:39.269,1:41.517,1:49.834
2015,2,Malaysian Grand Prix,Sepang International Circuit,Vettel,Ferrari,2,1:39.814,1:39.632,1:49.908
2015,2,Malaysian Grand Prix,Sepang International Circuit,Rosberg,Mercedes,3,1:39.374,1:39.377,1:50.299
2015,2,Malaysian Grand Prix,Sepang International Circuit,Ricciardo,Red Bull,4,1:40.504,1:41.085,1:51.541
2015,2,Malaysian Grand Prix,Sepang International Circuit,Kvyat,Red Bull,5,1:40.546,1:41.665,1:51.951
2015,2,Malaysian Grand Prix,Sepang International Circuit,Verstappen,Toro Rosso,6,1:40.793,1:41.430,1:51.981
2015,2,Malaysian Grand Prix,Sepang International Circuit,Massa,Williams,7,1:40.543,1:41.230,1:52.473
2015,2,Malaysian Grand Prix,Sepang International Circuit,Grosjean,Lotus F1,8,1:40.303,1:41.209,1:52.981
2015,2,Malaysian Grand Prix,Sepang International Circuit,Bottas,Williams,9,1:40.249,1:40.650,1:53.179
2015,2,Malaysian Grand Prix,Sepang International Circuit,Ericsson,Sauber,10,1:40.340,1:41.748,1:53.261
2015,2,Malaysian Grand Prix,Sepang International Circuit,Räikkönen,Ferrari,11,1:40.415,1:42.173,
2015,2,Malaysian Grand Prix,Sepang International Circuit,Maldonado,Lotus F1,12,1:40.361,1:42.198,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hamilton,Mercedes,1,1:25.351,1:24.605,1:23.837
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Rosberg,Mercedes,2,1:26.934,1:24.796,1:24.197
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vettel,Ferrari,3,1:26.945,1:25.257,1:24.675
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Räikkönen,Ferrari,4,1:26.579,1:25.615,1:25.033
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Verstappen,Toro Rosso,5,1:26.934,1:25.615,1:25.434
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Massa,Williams,6,1:25.918,1:25.644,1:25.458
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sainz,Toro Rosso,7,1:27.057,1:25.384,1:25.582
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ricciardo,Red Bull,8,1:26.945,1:25.599,1:25.589
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Pérez,Force India,9,1:26.607,1:25.753,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hülkenberg,Force India,10,1:26.550,1:25.865,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Bottas,Williams,11,1:27.135,1:25.961,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Alonso,McLaren,12,1:26.537,1:26.125,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Button,McLaren,13,1:26.740,1:26.304,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Palmer,Renault,14,1:27.241,1:27.601,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Magnussen,Renault,15,1:27.297,1:27.742,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ericsson,Sauber,16,1:27.435,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Nasr,Sauber,17,1:27.958,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Kvyat,Red Bull,18,1:28.006,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Grosjean,Haas F1 Team,19,1:28.322,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Gutiérrez,Haas F1 Team,20,1:29.606,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Haryanto,Manor Marussia,21,1:29.627,,
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Wehrlein,Manor Marussia,22,1:29.642,,
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,1,1:31.391,1:30.039,1:29.493
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Rosberg,Mercedes,2,1:31.325,1:30.535,1:29.570
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Vettel,Ferrari,3,1:31.636,1:30.409,1:30.012
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Räikkönen,Ferrari,4,1:31.685,1:30.559,1:30.244
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Ricciardo,Red Bull,5,1:31.403,1:31.122,1:30.854
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Williams,6,1:31.672,1:30.931,1:31.153
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Massa,Williams,7,1:32.045,1:31.374,1:31.155
2016,2,Bahrain Grand Prix,Bahrain International Circuit,Hülkenberg,Force India,8,1:31.987,1:31.604,1:31.620
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hamilton,Mercedes,1,1:24.191,1:23.251,1:22.188
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vettel,Ferrari,2,1:25.210,1:23.401,1:22.456
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Bottas,Mercedes,3,1:24.514,1:23.215,1:22.481
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Räikkönen,Ferrari,4,1:24.352,1:23.376,1:23.033
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Verstappen,Red Bull,5,1:24.482,1:24.092,1:23.485
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Grosjean,Haas F1 Team,6,1:25.419,1:24.718,1:24.074
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Massa,Williams,7,1:25.099,1:24.597,1:24.443
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sainz,Toro Rosso,8,1:25.542,1:24.997,1:24.487
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Kvyat,Toro Rosso,9,1:25.970,1:24.864,1:24.512
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ricciardo,Red Bull,10,1:25.383,1:23.989,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Pérez,Force India,11,1:25.064,1:25.081,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hülkenberg,Renault,12,1:24.975,1:25.091,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Alonso,McLaren,13,1:25.872,1:25.425,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ocon,Force India,14,1:26.009,1:25.568,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ericsson,Sauber,15,1:26.236,1:26.465,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Giovinazzi,Sauber,16,1:26.419,,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Magnussen,Haas F1 Team,17,1:26.847,,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vandoorne,McLaren,18,1:26.858,,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Stroll,Williams,19,1:27.143,,
2017,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Palmer,Renault,20,1:28.244,,
2017,2,Chinese Grand Prix,Shanghai International Circuit,Hamilton,Mercedes,1,1:33.333,1:32.406,1:31.678
2017,2,Chinese Grand Prix,Shanghai International Circuit,Vettel,Ferrari,2,1:33.078,1:32.391,1:31.864
2017,2,Chinese Grand Prix,Shanghai International Circuit,Bottas,Mercedes,3,1:33.684,1:32.552,1:31.865
2017,2,Chinese Grand Prix,Shanghai International Circuit,Räikkönen,Ferrari,4,1:33.341,1:32.181,1:32.140
2017,2,Chinese Grand Prix,Shanghai International Circuit,Ricciardo,Red Bull,5,1:34.041,1:33.546,1:33.033
2017,2,Chinese Grand Prix,Shanghai International Circuit,Massa,Williams,6,1:34.205,1:33.759,1:33.507
2017,2,Chinese Grand Prix,Shanghai International Circuit,Hülkenberg,Renault,7,1:34.453,1:33.636,1:33.580
2017,2,Chinese Grand Prix,Shanghai International Circuit,Pérez,Force India,8,1:34.657,1:33.920,1:33.706
2017,2,Chinese Grand Prix,Shanghai International Circuit,Kvyat,Toro Rosso,9,1:34.440,1:34.034,1:33.719
2017,2,Chinese Grand Prix,Shanghai International Circuit,Stroll,Williams,10,1:33.986,1:34.090,1:34.220
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hamilton,Mercedes,1,1:22.824,1:22.051,1:21.164
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Räikkönen,Ferrari,2,1:23.096,1:22.507,1:21.828
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vettel,Ferrari,3,1:23.348,1:21.944,1:21.838
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Verstappen,Red Bull,4,1:23.483,1:22.416,1:21.879
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ricciardo,Red Bull,5,1:23.494,1:22.897,1:22.152
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Magnussen,Haas F1 Team,6,1:23.909,1:23.300,1:23.187
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Grosjean,Haas F1 Team,7,1:23.671,1:23.468,1:23.339
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hülkenberg,Renault,8,1:23.782,1:23.544,1:23.532
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sainz,Renault,9,1:23.529,1:23.061,1:23.577
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Bottas,Mercedes,10,1:23.686,1:22.089,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Alonso,McLaren,11,1:23.597,1:23.692,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vandoorne,McLaren,12,1:24.073,1:23.853,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Pérez,Force India,13,1:24.344,1:24.005,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Stroll,Williams,14,1:24.464,1:24.230,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ocon,Force India,15,1:24.503,1:24.786,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hartley,Toro Rosso,16,1:24.532,,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ericsson,Sauber,17,1:24.556,,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Leclerc,Sauber,18,1:24.636,,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sirotkin,Williams,19,1:24.922,,
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Gasly,Toro Rosso,20,1:25.295,,
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Vettel,Ferrari,1,1:29.060,1:28.341,1:27.958
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Räikkönen,Ferrari,2,1:28.951,1:28.515,1:28.101
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Mercedes,3,1:29.275,1:28.794,1:28.124
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,4,1:29.396,1:28.458,1:28.220
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Ricciardo,Red Bull,5,1:29.552,1:28.962,1:28.398
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Gasly,Toro Rosso,6,1:30.121,1:29.836,1:29.329
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Magnussen,Haas F1 Team,7,1:29.594,1:29.623,1:29.358
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Hülkenberg,Renault,8,1:30.260,1:29.187,1:29.570
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Ocon,Force India,9,1:30.338,1:30.009,1:29.874
2018,2,Bahrain Grand Prix,Bahrain International Circuit,Sainz,Renault,10,1:29.893,1:29.802,1:29.986
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hamilton,Mercedes,1,1:22.043,1:21.014,1:20.486
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Bottas,Mercedes,2,1:22.367,1:21.193,1:20.598
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Vettel,Ferrari,3,1:22.885,1:21.912,1:21.190
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Verstappen,Red Bull,4,1:22.876,1:21.678,1:21.320
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Leclerc,Ferrari,5,1:22.017,1:21.739,1:21.442
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Grosjean,Haas F1 Team,6,1:22.959,1:21.870,1:21.826
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Magnussen,Haas F1 Team,7,1:22.519,1:22.221,1:22.099
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Norris,McLaren,8,1:22.702,1:22.423,1:22.304
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Räikkönen,Alfa Romeo,9,1:22.966,1:22.349,1:22.314
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Pérez,Racing Point,10,1:22.908,1:22.532,1:22.781
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Hülkenberg,Renault,11,1:22.540,1:22.562,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ricciardo,Renault,12,1:22.921,1:22.570,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Albon,Toro Rosso,13,1:22.757,1:22.636,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Giovinazzi,Alfa Romeo,14,1:22.431,1:22.714,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Kvyat,Toro Rosso,15,1:22.511,1:22.774,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Stroll,Racing Point,16,1:23.017,,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Gasly,Red Bull,17,1:23.020,,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sainz,McLaren,18,1:23.084,,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Russell,Williams,19,1:24.360,,
2019,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Kubica,Williams,20,1:26.067,,
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Leclerc,Ferrari,1,1:28.495,1:28.046,1:27.866
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Vettel,Ferrari,2,1:28.733,1:28.356,1:28.160
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Hamilton,Mercedes,3,1:29.262,1:28.578,1:28.190
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Bottas,Mercedes,4,1:29.498,1:28.830,1:28.256
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Verstappen,Red Bull,5,1:29.579,1:29.109,1:28.752
2019,2,Bahrain Grand Prix,Bahrain International Circuit,Magnussen,Haas F1 Team,6,1:29.532,1:29.017,1:28.757
